dataset_name,algorithm,train_seed,num_updates,final_train_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_small_wide_medium,cql,17,5000,0.649255,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed17.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,18,5000,0.645987,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed18.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,19,5000,0.605147,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed19.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,0,5000,0.486571,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed0.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,1,5000,0.485204,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed1.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,2,5000,0.456230,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed2.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,3,5000,0.493206,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed3.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,4,5000,0.504179,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed4.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,5,5000,0.441516,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed5.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,6,5000,0.462199,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed6.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
