dataset_name,quality_bin,algorithm,train_seed,source_summary_type,dataset_norm_state_cov,dataset_norm_sa_cov,dataset_state_entropy,dataset_avg_return,dataset_success_rate,run_avg_return,run_success_rate,run_avg_episode_length,ood_action_rate_step,support_overlap_rate_unique_sa,eval_sa_coverage_wrt_dataset_support,support_distance_proxy,q_over_rate,q_over_mean_excess,checkpoint_path,status,notes
envA_v2_small_wide_medium,medium,cql,9,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.007353,0.006912,artifacts\training_main\envA_v2_small_wide_medium_cql_seed9.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,10,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.007353,0.007021,artifacts\training_main\envA_v2_small_wide_medium_cql_seed10.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,11,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.007353,0.006326,artifacts\training_main\envA_v2_small_wide_medium_cql_seed11.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,12,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.007353,0.006045,artifacts\training_main\envA_v2_small_wide_medium_cql_seed12.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,13,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.4100,1.0000,59.00,0.000000,1.000000,0.107273,0.000000,0.007353,0.006455,artifacts\training_main\envA_v2_small_wide_medium_cql_seed13.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,14,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.007353,0.006091,artifacts\training_main\envA_v2_small_wide_medium_cql_seed14.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,15,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.014706,0.008558,artifacts\training_main\envA_v2_small_wide_medium_cql_seed15.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,16,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.4100,1.0000,59.00,0.000000,1.000000,0.107273,0.000000,0.007353,0.008030,artifacts\training_main\envA_v2_small_wide_medium_cql_seed16.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,17,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.4100,1.0000,59.00,0.000000,1.000000,0.107273,0.000000,0.022059,0.011848,artifacts\training_main\envA_v2_small_wide_medium_cql_seed17.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,18,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.007353,0.006177,artifacts\training_main\envA_v2_small_wide_medium_cql_seed18.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
