dataset_name,algorithm,train_seed,num_updates,final_actor_loss,final_q_loss,final_value_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_quality_suboptimal_wide50k,iql,13,5000,0.579375,0.000263,0.000118,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed13.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,14,5000,0.570282,0.000388,0.000249,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed14.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,15,5000,0.570035,0.000206,0.000199,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed15.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,16,5000,0.599312,0.000574,0.000314,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed16.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,17,5000,0.598559,0.000346,0.000290,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed17.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,18,5000,0.589394,0.000302,0.000137,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed18.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,19,5000,0.595695,0.000465,0.000141,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed19.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,0,5000,0.543782,0.000145,0.000151,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed0.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,1,5000,0.519735,0.000259,0.000206,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed1.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,2,5000,0.529374,0.000697,0.000124,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed2.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,3,5000,0.540694,0.000265,0.000150,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed3.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,4,5000,0.510367,0.000245,0.000093,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed4.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
